question,ans1,ans2,ans3,ans4,ans5,ans6,correct_ans,check_radio,topic,domain,explanation
- (Exam Topic 1) A Developer needs to use AWS X-Ray to monitor an application that is deployed on EC2 instances. What steps have to be executed to perform the monitoring?,A. Deploy the X-Ray SDK with the application and use X-Ray annotation.,B. Install the X-Ray daemon and instrument the application code.,C. Install the X-Ray daemon and configure it to forward data to Amazon CloudWatch Events.,D. Deploy the X-Ray SDK with the application and instrument the application code.,,,3,radio,,,
- (Exam Topic 1) In a move toward using microservices  a company’s Management team has asked all Development teams to build their services so that API requests depend only on that service’s data store. One team is building a Payments service which has its own database; the service needs data that originates in the Accounts database. Both are using Amazon DynamoDB. What approach will result in the simplest  decoupled  and reliable method to get near-real time updates from the Accounts database?,B. What approach will result in the simplest  decoupled  and reliable method to get near-real time updates from the Accounts database?,A. Use Amazon Glue to perform frequent ETL updates from the Accounts database to the Payments database.,B. Use Amazon ElastiCache in Payments  with the cache updated by triggers in the Accounts database.,C. Use Amazon Kinesis Data Firehouse to deliver all changes from the Accounts database to the Payments database.,D. Use Amazon DynamoDB Streams to deliver all changes from the Accounts database to the Payments database.,,4,radio,,,Reference: https://aws.amazon.com/blogs/database/how-to-perform-ordered-data-replication-betweenapplications-by-using
- (Exam Topic 1) The Lambda function below is being called through an API using Amazon API Gateway. The average execution time for the Lambda function is about 1 second. The pseudocode for the Lambda function is as shown in the exhibit. What two actions can be taken to improve the performance of this Lambda function without increasing the cost of the solution? (Select two.),A. Package only the modules the Lambda function requires,B. Use Amazon DynamoDB instead of Amazon RDS,C. Move the initialization of the variable Amazon RDS connection outside of the handler function,D. Implement custom database connection pooling with the Lambda function,E. Implement local caching of Amazon RDS data so Lambda can re-use the cache,,1,radio,,,
- (Exam Topic 1) A Developer created a dashboard for an application using Amazon API Gateway  Amazon S3  AWS Lambda  and Amazon RDS. The Developer needs an authentication mechanism allowing a user to sign in and view the dashboard. It must be accessible from mobile applications  desktops  and tablets  and must remember user preferences across platforms. Which AWS service should the Developer use to support this authentication scenario? Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As),A. AWS KMS,B. Amazon Cognito,C. AWS Directory Service,D. Amazon IAM,,,2,radio,,,Congito user pool provides sign up and sign in functionality along with identity pool which provides temp credentials for using aws services.
- (Exam Topic 1) A company wants to migrate its web application to AWS and leverage Auto Scaling to handle pear workloads. The Solutions Architect determined that the best metric for an Auto Scaling event is the number of concurrent users. Based on this information  what should the Developer use to autoscale based on concurrent users?,A. An Amazon SNS topic to be triggered when a concurrent user threshold is met,B. An Amazon Cloudwatch Networkin metric,C. Amazon CloudFront to leverage AWS Edge Locations,D. A Custom Amazon CloudWatch metric for concurrent users.,,,4,radio,,,
- (Exam Topic 1) A company has an application that logs all information to Amazon S3. Whenever there is a new log file  an AWS Lambda function is invoked to process the log files. The code works  gathering all of the necessary information. However  when checking the Lambda function logs  duplicate entries with the same request ID are found. What is causing the duplicate entries?,A. The S3 bucket name was specified incorrectly.,B. The Lambda function failed  and the Lambda service retired the invocation with a delay.,C. There was an S3 outage  which caused duplicate entries of the sale log file.,D. The application stopped intermittently and then resumed.,,,2,radio,,,https://docs.aws.amazon.com/lambda/latest/dg/API_Invoke.html
- (Exam Topic 1) A Developer executed a AWS CLI command and received the error shown below: What action should the Developer perform to make this error human-readable?,A. Make a call to AWS KMS to decode the message.,B. Use the AWS STS decode-authorization-message API to decode the message.,C. Use an open source decoding library to decode the message.,D. Use the AWS IAM decode-authorization-message API to decode this message.,,,2,radio,,,https://docs.aws.amazon.com/cli/latest/reference/sts/decode-authorization-message.html The message is encoded because the details of the authorization status can constitute privileged information that the user who requested the operation should not see. To decode an authorization status message  a user must be granted permissions via an IAM policy to request the DecodeAuthorizationMessage (sts:DecodeAuthorizationMessage ) action.
- (Exam Topic 1) An application overwrites an object in Amazon S3  and then immediately reads the same object. Why would the application sometimes retrieve the old version of the object?,A. S3 overwrite PUTS are eventually consistent  so the application may read the old object.,B. The application needs to add extra metadata to label the latest version when uploading to Amazon S3.,C. All S3 PUTS are eventually consistent  so the application may read the old object.,D. The application needs to explicitly specify latest version when retrieving the object.,,,1,radio,,,
- (Exam Topic 1) You run an ad-supported photo sharing website using S3 to serve photos to visitors of your site. At some point you find out that other sites have been linking to the photos on your site  causing loss to your business. What is an effective method to mitigate this?,A. Store photos on an EBS volume of the web server,B. Remove public read access and use signed URLs with expiry dates.,C. Use CloudFront distributions for static content.,D. Block the IPs of the offending websites in Security Groups.,,,2,radio,,,https://aws.amazon.com/getting-started/projects/building-fast-session-caching-with-amazon-elasticache-for-redi
- (Exam Topic 1) A Developer created a Lambda function for a web application backend. When testing the Lambda function from the AWS Lambda console  the Developer can see that the function is being executed  but there is no log data being generated in Amazon CloudWatch Logs  even after several minutes. What could cause this situation?,A. The Lambda function does not have any explicit log statements for the log data to send it to CloudWatch Logs.,B. The Lambda function is missing CloudWatch Logs as a source trigger to send log data.,C. The execution role for the Lambda function is missing permissions to write log data to the CloudWatch Logs.,D. The Lambda function is missing a target CloudWatch Log group.,,,3,radio,,,https://docs.aws.amazon.com/lambda/latest/dg/lambda-monitoring.html
- (Exam Topic 1) An AWS Lambda function must read data from an Amazon RDS MySQL database in a VPC and also reach a public endpoint over the internet to get additional data. Which steps must be taken to allow the function to access both the RDS resource and the public endpoint? (Select TWO.),A. Modify the default configuration for the Lambda function to associate it with an Amazon VPC private subnet.,B. Modify the default network access control list to allow outbound traffic.,C. Add a NAT Gateway to the VP,C.,D. Modify the default configuration of the Lambda function to associate it with a VPC public subnet.,E. Add an environmental variable to the Lambda function to allow outbound internet access.,1,radio,,,Reference: https://docs.aws.amazon.com/lambda/latest/dg/vpc.html
- (Exam Topic 1) An application running on EC2 instances is storing data in an S3 bucket. Security policy mandates that all data must be encrypted in transit. How can the Developer ensure that all traffic to the S3 bucket is encrypted?,A. Install certificates on the EC2 instances.,B. Create a bucket policy that allows traffic where SecureTransport is true.,C. Create an HTTPS redirect on the EC2 instances.,D. Create a bucket policy that denies traffic where SecureTransport is false.,,,4,radio,,,https://aws.amazon.com/blogs/security/how-to-use-bucket-policies-and-apply-defense-in-depth-to-help-secure-y
- (Exam Topic 1) A large e-commerce site is being designed to deliver static objects from Amazon S3. The Amazon S3 bucket wills server more than 300 GET requests per second. What should be done to optimize performance? (Select TWO.),A. Integrate Amazon CloudFront with Amazon S3.,B. Enable Amazon S3 cross-region replication.,C. Delete expired Amazon S3 server log files.,D. Configure Amazon S3 lifecycle rules.,E. Randomize Amazon S3 key name prefixes.,,1,radio,,,"Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As) CloudWatch definitely. Random key prefixes is still a valid method of improving performance by using parallel reads. It doesn't mention prefix hashing. For instance prefixes 1/ 2/ 3/ 4 5/ could provide 5 x parallel streams for S3 as opposed to all objects being in a single folder/prefix e.g. dev/ https://docs.aws.amazon.com/AmazonS3/latest/dev/optimizing-performance.html There are no limits to the number of prefixes in a bucket. You can increase your read or write performance by parallelizing reads. For example, if you create 10
prefixes in an Amazon S3 bucket to parallelize reads, you could scale your read performance to 55,000 read requests per second. The assumption that prefixes don't matter is incorrect  as described by ""Amazon S3 performance guidelines recommended randomizing prefix naming with **hashed characters** to optimize performance for frequent data retrievals. You no longer have to randomize prefix naming for performance  and can use sequential date-based naming for your prefixes"""
- (Exam Topic 1) In DynamoDB  what type of HTTP response codes indicate that a problem was found with the client request sent to the service?,A. 5xx HTTP response code,B. 200 HTTP response code,C. 306 HTTP response code,D. 4xx HTTP response code,,,4,radio,,,https://docs.aws.amazon.com/AmazonS3/latest/API/ErrorResponses.html#ErrorCodeList
- (Exam Topic 1) An application that runs on an Amazon EC2 instance needs to access and make API calls to multiple AWS services. What is the MOST secure way to provide access to the AWS services with MINIMAL management overhead?,A. Use AWS KMS to store and retrieve credentials.,B. Use EC2 instance profiles.,C. Use AWS root user to make requests to the application.,D. Store and retrieve credentials from AWS CodeCommit.,,,2,radio,,,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_use_switch-role-ec2.html
- (Exam Topic 1) A meteorological system monitors 600 temperature gauges  obtaining temperature samples every minute and saving each sample to a DynamoDB table. Each sample involves writing 1K of data and the writes are evenly distributed over time. How much write throughput is required for the target table?,A. 1 write capacity unit,B. 10 write capacity units,C. 60 write capacity units,D. 600 write capacity units,E. 3600 write capacity units,,2,radio,,,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/HowItWorks.ReadWriteCapacityMode.h
"- (Exam Topic 1) Which code snippet below returns the URL of a load balanced web site created in CloudFormation with an AWS::ElasticLoadBalancing::LoadBalancer resource name ""ElasticLoad Balancer""?","A. ""Fn::Join"" : ["""". [ ""http://""  {""Fn::GetAtr” : [ ""ElasticLoadBalancer"" DNSName]}]]","B. ""Fn::Join"" : ["""". [ ""http://""  {""Fn::GetAtr” : [ ""ElasticLoadBalancer"" Url]}]]","C. ""Fn::Join"" : ["""". [ ""http://""  {""Ref"" : ""ElasticLoadBalancerUrl""}]]","D. ""Fn::Join"" : ["".""  [ ""http://""  {""Ref"" : ""ElasticLoadBalancerDNSName""}]]",,,1,radio,,,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/intrinsic-function-reference-getatt.html
- (Exam Topic 1) A Developer is designing a new application that uses Amazon S3. To satisfy compliance requirements  the Developer must encrypt the data at rest. How can the Developer accomplish this?,A. Use s3:x-amz-acl as a condition in the S3 bucket policy.,B. Use Amazon RDS with default encryption.,C. Use aws:SecureTransport as a condition in the S3 bucket policy. Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As),D. Turn on S3 default encryption for the S3 bucket.,,,4,radio,,,
- (Exam Topic 1) Company A has an S3 bucket containing premier content that they intend to make available to only paid subscribers of their website. The S3 bucket currently has default permissions of all objects being private to prevent inadvertent exposure of the premier content to non-paying website visitors. How can Company A provide only paid subscribers the ability to download a premier content file in the S3 bucket?,A. Apply a bucket policy that grants anonymous users to download the content from the S3 bucket,B. Generate a pre-signed object URL for the premier content file when a paid subscriber requests a download,C. Add a bucket policy that requires Multi-Factor Authentication for requests to access the S3 bucket objects,D. Enable server-side encryption on the S3 bucket for data protection against the non-paying website visitors,,,2,radio,,,
- (Exam Topic 2) A company is developing a report executed by AWS Step Functions Amazon CloudWatch shows errors in the Step Functions task state machine To troubleshoot each task  the state input needs to be included along with the error message in the state output. Which coding practice can preserve both the original input and the error for the state?,A. Use ResultPath in a Catch statement to include the error with the original input,B. Use inputPath in a Catch statement and set the value to null.,C. Use ErrorEquals in a Retry statement to include the error with the original input,D. Use OutputPath in a Retry statement and set the value to $.,,,1,radio,,,Use ResultPath in a Catch to include the error with the original input. Reference: https://docs.aws.amazon.com/step-functions/latest/dg/input-output-resultpath.html
- (Exam Topic 2) A company is using Amazon RDS MySQL instances for its application database tier and Apache Tomcat servers for its web tier. Most of the database queries from web applications are repeated read requests. Use of which AWS service would increase in performance by adding in-memory store for repeated read queries?,A. Amazon RDS Multi-AZ,B. Amazon SQS,C. Amazon ElastiCache,D. Amazon RDS read replica,,,3,radio,,,
- (Exam Topic 2) A development team is designing a mobile app that requires multi-factor authentication Which steps should be taken to achieve this? (Select TWO),A. Use Amazon Cognito to create a user pool and create users in the user pool,B. Send multi-factor authentication text codes to users with the Amazon SNS Publish API call in the app code,C. Enable multi-factor authentication for the Amazon Cognito user pool,D. Use AWS IAM to create IAM users,E. Enable multi-factor authentication for the users created in AWS IAM.,,1,radio,,,
- (Exam Topic 2) A developer added a new feature to an application running on an Amazon EC2 instance that uses Amazon SQS After deployment  the developer noticed a significant increase in Amazon SQS costs. When monitoring the Amazon SQS metrics on Amazon CloudWatch. the developer found that on average one message per minute is posted on this queue. What can be done to reduce Amazon SQS costs for this application?,A. Increase the Amazon SQS queue polling timeout,B. Scale down the Amazon SQS queue to the appropriate size for low traffic demand.,C. Configure push delivery via Amazon SNS instead of polling the Amazon SQS queue,D. Use an Amazon SQS first-in  first-out (FIFO) queue instead of a standard queue.,,,1,radio,,,
- (Exam Topic 2) A company has an application where reading objects from Amazon S3 is based on the type of user The user types are registered user and guest user The company has 25.000 users and is growing Information is pulled from an S3 bucket depending on the user type. Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As) Which approaches are recommended to provide access to both user types? (Select TWO.),A. Provide a different access key and secret access key in the application code for registered users and guest users to provide read access to the objects,B. Use S3 bucket policies to restrict read access to specific IAM users,C. Use Amazon Cognito to provide access using authenticated and unauthenticated roles,D. Create a new IAM user for each user and grant read access.,E. Use the AWS IAM service and let the application assume the different roles using the AWS Security Token Service (AWS STS) AssumeRole action depending on the type of user and provide read access to Amazon S3 using the assumed role,,2,radio,,,
- (Exam Topic 2) A Developer is building a three-tier web application that should be able to handle a minimum of 5000 requests per minute. Requirements state that the web tier should be completely stateless while the application maintains session state for the users. How can session data be externalized  keeping latency at the LOWEST possible value?,A. Create an Amazon RDS instance  then implement session handling at the application level to leverage a database inside the RDS database instance for session data storage,B. Implement a shared file system solution across the underlying Amazon EC2 instances  then implement session handling at the application level to leverage the shared file system for session data storage,C. Create an Amazon ElastiCache Memcached cluster  then implement session handling at the application level to leverage the cluster for session data storage,D. Create an Amazon DynamoDB table  then implement session handling at the application level to leverage the table for session data storage,,,1,radio,,,https://aws.amazon.com/caching/session-management/
- (Exam Topic 2) A Developer accesses AWS CodeCommit over SSH. The SSH keys configured to access AWS CodeCommit are tied to a user with the following permissions: The Developer needs to create/delete branches. Which specific IAM permissions need to be added  based on the principle of least privilege?,A. “codecommit:CreateBranch”“codecommit:DeleteBranch”,B. “codecommit:Put*”,C. “codecommit:Update*”,D. “codecommit:*”,,,1,radio,,,https://docs.aws.amazon.com/codecommit/latest/userguide/auth-and-access-control-permissions-reference.html# https://docs.aws.amazon.com/codecommit/latest/userguide/auth-and-access-control-iam-identity-based-access-c
- (Exam Topic 2) An application needs to encrypt data that is written to Amazon S3 where the keys are managed in an on-premises data center and the encryption is handled by S3. Which type of encryption should be used?,A. Use server-side encryption with Amazon S3-managed keys,B. Use server-side encryption with AWS KMS-managed keys.,C. Use client-side encryption with customer master keys,D. Use server-side encryption with customer-provided keys Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As),,,1,radio,,,
- (Exam Topic 2) An e-commerce web application that shares session state on-premises is being migrated to AWS. The application must be fault tolerant  natively highly scalable and any service interruption should not affect the user experience. What is the best option to store the session state?,A. Store the session state in Amazon ElastiCache,B. Store the session state in Amazon CloudFront,C. Store the session state in Amazon S3,D. Enable session stickiness using elastic load balancers,,,1,radio,,,https://aws.amazon.com/caching/session-management/
- (Exam Topic 2) A development team is using AWS Elastic Beanstalk to deploy a two-tier application that consists of a load-balanced web tier and an Amazon RDS database tier in production. The team would like to separate the RDS instance from the Elastic Beanstalk. How can this be accomplished?,A. Use the Elastic Beanstalk CLI to disassociate the database.,B. Use the AWS CLI to disassociate the database.,C. Change the deployment policy to disassociate the database.,D. Recreate a new Elastic Beanstalk environment without Amazon RDS.,,,4,radio,,,https://aws.amazon.com/premiumsupport/knowledge-center/decouple-rds-from-beanstalk/
- (Exam Topic 2) An application writes items to an Amazon DynamoDB table. As the application scales to thousands of instances  calls to the DynamoDB API generate occasional ThrottlingException errors. The application is coded in a language incompatible with the AWS SDK. How should the error be handled?,A. Add exponential backoff to the application logic,B. Use Amazon SQS as an API message bus,C. Pass API calls through Amazon API Gateway,D. Send the items to DynamoDB through Amazon Kinesis Data Firehose,,,1,radio,,,https://aws.amazon.com/premiumsupport/knowledge-center/throttled-ddb/ SDKs automatically add exponential backoff. If not using the AWS SDKs  add your own backoff logic to the application code. https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/Programming.Errors.html#Programming.
- (Exam Topic 2) A company is creating a REST service using an Amazon API Gateway with AWS Lambda integration. The service must run different versions for testing purposes. What would be the BEST way to accomplish this?,A. Use an X-Version header to denote which version is being called and pass that header to the Lambda function(s),B. Create an API Gateway Lambda authorizer to route API clients to the correct API version,C. Create an API Gateway resource policy to isolate versions and provide context to the Lambda function(s),D. Deploy the API versions as unique stages with unique endpoints and use stage variables to provide further context,,,1,radio,,,The service run different versions for testing purposes. means different stages  stage variable is the way to go.
- (Exam Topic 2) A company is adding stored value for gift card) capability to its highly popular casual gaming website. Users need to be able to trade this value for other users' items on the platform. This would require both users' records be updated as a single transaction  or both users' records to be completely rolled back. Which AWS database options can provide the transactional capability required for this new feature? (Select TWO ),A. Amazon DynamoDB with operations made with the ConsistentRead parameter set to true,B. Amazon ElastiCache for Memcached with operations made within a transaction block,C. Amazon Aurora MySQL with operations made within a transaction block,"D. Amazon DynamoDB with reads and writes made using Transact"" operations Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As)",E. Amazon Redshift with operations made within a transaction block,,3,radio,,,
- (Exam Topic 2) A company runs an e-commerce website that uses Amazon DynamoDB where pricing for items is dynamically updated in real time. At any given time  multiple updates may occur simultaneously for pricing information on a particular product. This is causing the original editor’s changes to be overwritten without a proper review process. Which DynamoDB write option should be selected to prevent this overwriting?,A. Concurrent writes,B. Conditional writes,C. Atomic writes,D. Batch writes,,,2,radio,,,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/WorkingWithItems.html#WorkingWithIt
- (Exam Topic 2) According to best practice  how should access keys be managed in AWS? (Choose two.),A. Use the same access key in all applications for consistency.,B. Delete all access keys for the account root user.,C. Leave unused access keys in the account for tracking purposes.,D. Embed and encrypt access keys in code for continuous deployment.,E. Use Amazon IAM roles instead of access keys where possible.,,2,radio,,,
- (Exam Topic 2) An Amazon RDS database instance is used by many applications to look up historical data. The query rate is relatively constant. When the historical data is updated each day  the resulting write traffic slows the read query performance and affects all application users. What can be done to eliminate the performance impact on application users?,A. Make sure Amazon RDS is Multi-AZ so it can better absorb increased traffic.,B. Create an RDS Read Replica and direct all read traffic to the replica.,C. Implement Amazon ElastiCache in front of Amazon RDS to buffer the write traffic.,D. Use Amazon DynamoDB instead of Amazon RDS to buffer the read traffic.,,,2,radio,,,https://aws.amazon.com/rds/details/read-replicas/
- (Exam Topic 2) An AWS Lambda function must access an external site by using a regularly rotated user name and password. These items must be kept securely and cannot be stored in the function code. What combination of AWS services can be used to accomplish this? (Choose two.),A. AWS Certificate Manager (ACM),B. AWS Systems Manager Parameter Store,C. AWS Trusted Advisor,D. AWS KMS,E. Amazon GuardDuty,,2,radio,,,https://docs.aws.amazon.com/kms/latest/developerguide/services-parameter-store.html
- (Exam Topic 2) A Development team wants to instrument their code to provide more detailed information to AWS X-Ray than simple outgoing and incoming requests. This will generate large amounts of data  so the Development team wants to implement indexing so they can filter the data. What should the Development team do to achieve this?,A. Add annotations to the segment document and the code,B. Add metadata to the segment document and the code,C. Configure the necessary X-Ray environment variables,D. Install required plugins for the appropriate AWS SDK,,,,check,,,https://docs.aws.amazon.com/xray/latest/devguide/xray-sdk-python-segment.html https://docs.aws.amazon.com/xray/latest/devguide/xray-concepts.html#xrayconcepts-annotations
- (Exam Topic 2) A Developer is working on an application that handles 10MB documents that contain highly-sensitive data. The application will use AWS KMS to perform clientside encryption. What steps must be followed?,A. Invoke the Encrypt API passing the plaintext data that must be encrypted  then reference the customer managed key ARN in the KeyId parameter,B. Invoke the GenerateRandom API to get a data encryption key  then use the data encryption key to encrypt the data,C. Invoke the GenerateDataKey API to retrieve the encrypted version of the data encryption key to encrypt the data,D. Invoke the GenerateDataKey API to retrieve the plaintext version of the data encryption key to encrypt the data,,,4,radio,,,https://docs.aws.amazon.com/AmazonS3/latest/dev/UsingClientSideEncryption.html GenerateDataKey API: Generates a unique data key. This operation returns a plaintext copy of the data key and a copy that is encrypted under a customer master key (CMK) that you specify. You can use the plaintext key to encrypt your data outside of KMS and store the encrypted data key with the encrypted data.
- (Exam Topic 2) A developer is setting up Amazon API Gateway for their company's products The API will be used by registered developers to query and update their environments. The company wants to limit the amount of requests end users can send for both cost and security reasons Management wants to offer registered developers the option of buying larger packages that allow for more requests. How can the developer accomplish this with the LEAST amount of overhead management?,A. Enable throttling for the API Gateway stag,B. Set a value for both the rate and burst capacit,C. If a registered user chooses a larger package  create a stage for them  adjust the values  and share the new URL with them.,D. Set up Amazon CloudWatch API logging in API Gateway Create a filter based on the user and requestTime fields and create an alarm on this filter Write an AWS Lambda function to analyze the values and requester information  and respond accordingly Set up the function as the target for the alarm If a registered user chooses a larger package  update the Lambda code with the values.,E. Enable Amazon CloudWatch metrics for the API Gateway stage Set up CloudWatch alarms based off the Count metric and the ApiName  Method  Resource and Stage dimensions to alerts when request rates pass the threshold Set the alarm action to Deny If a registered user chooses a larger package create a userspecific alarm and adjust the values,F. Set up a default usage plan  specify values for the rate and burst capacity  and associate it with a stage  if a registered user chooses a larger package  create a custom plan with the appropriate values and associate the plan with the user,4,radio,,,
- (Exam Topic 2) A Developer has developed a web application and wants to deploy it quickly on a Tomcat server on AWS. The Developer wants to avoid having to manage the underlying infrastructure. What is the easiest way to deploy the application  based on these requirements?,A. AWS CloudFormation,B. AWS Elastic Beanstalk,C. Amazon S3,D. AWS CodePipeline,,,2,radio,,,
- (Exam Topic 2) A Developer is trying to deploy a serverless application using AWS CodeDeploy. The application was updated and needs to be redeployed. What file does the Developer need to update to push that change through CodeDeploy?,A. dockerrun.aws.json,B. buildspec.yml,C. appspec.yml,D. ebextensions.config,,,3,radio,,,https://docs.aws.amazon.com/codedeploy/latest/userguide/application-revisions-push.html
- (Exam Topic 2) A company is developing a web application that allows its employees to upload a profile picture to a private Amazon S3 bucket There is no size limit for the profile pictures  which should be displayed every time an employee logs in. For security reasons  the pictures cannot be publicly accessible. What is a viable long-term solution for this scenario'' Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As),A. Generate a presigned URL when a picture is uploaded Save the URL in an Amazon DynamoDB table Return the URL to the browser when the employee logs in,B. Save the picture's S3 key in an Amazon DynamoDB table Create an Amazon S3 VPC endpoint to allow the employees to download pictures once they log in.,C. Encode a picture using base64 Save the base64 string in an Amazon DynamoDB table Allow the browser to retrieve the string and convert it to a picture,D. Save the picture's S3 key in an Amazon DynamoDB tabl,E. Use a function to generate a presigned URL every time an employee logs i,F. Return the URL to the browser.,2,radio,,,Reference: https://aws.amazon.com/premiumsupport/knowledge-center/s3-private-connection-noauthentication/
- (Exam Topic 2) A website’s page load times are gradually increasing as more users access the system at the same time. Analysis indicates that a user profile is being loaded from a database in all the web pages being visited by each user and this is increasing the database load and the page load latency. To address this issue the Developer decides to cache the user profile data. Which caching strategy will address this situation MOST efficiently?,A. Create a new Amazon EC2 Instance and run a NoSQL database on i,B. Cache the profile data within this database using the write-through caching strategy.,C. Create an Amazon ElastiCache cluster to cache the user profile dat,D. Use a cache-aside caching strategy.,E. Use a dedicated Amazon RDS instance for caching profile dat,F. Use a write-through caching strategy. G. Create an ElastiCache cluster to cache the user profile dat H. Use a write-through caching strategy.,2,radio,,,https://docs.aws.amazon.com/AmazonElastiCache/latest/mem-ug/Strategies.html
- (Exam Topic 2) A developer registered an AWS Lambda function as a target for an Application Load Balancer (ALB) using a CLI command. However  the Lambda function is not being invoked when the client sends requests through the ALB. Why is the Lambda function not being invoked?,B. Why is the Lambda function not being invoked?,A. A Lambda function cannot be registered as a target for an ALB,B. A Lambda function can be registered with an ALB using AWS Management Console only,C. The permissions to invoke the Lambda function are missing,D. Cross-zone is not enabled on the ALB,,3,radio,,,Reference: https://docs.aws.amazon.com/elasticloadbalancing/latest/application/lambda-functions.html
- (Exam Topic 2) An application deployed on AWS Elastic Beanstalk experiences increased error rates during deployments of new application versions  resulting in service degradation for users. The Development team believes that this is because of the reduction in capacity during the deployment steps. The team would like to change the deployment policy configuration of the environment to an option that maintains full capacity during deployment while using the existing instances. Which deployment policy will meet these requirements while using the existing instances?,A. All at once,B. Rolling,C. Rolling with additional batch,D. Immutable,,,4,radio,,,https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/using-features.rolling-version-deploy.html
- (Exam Topic 2) A developer is testing a Docker-based application that uses the AWS SDK to interact with Amazon DynamoDB In the local development environment  the application has used IAM access keys The application is now ready for deployment onto an ECS duster. How should the application authenticate with AWS services in production?,A. Configure an ECS task IAM role for the application to use,B. Refactor the application to call AWS STS AssumeRole based on an instance role,C. Configure AWS access key/secret access key environment variables with new credentials,D. Configure the credentials file with a new access key/secret access key,,,1,radio,,,
- (Exam Topic 2) A developer needs to create an application that supports Security Assertion Markup Language (SAML) and Facebook authentication It must also allow access to AWS services  such as Amazon DynamoDB. Which AWS service or feature will meet these requirements with the LEAST amount of additional coding?,B. Which AWS service or feature will meet these requirements with the LEAST amount of additional coding?,A. AWSAppSync,B. Amazon Cognito identity pools,C. Amazon Cognito user pools,D. Amazon Lambda@Edge,,2,radio,,,Reference: https://aws.amazon.com/blogs/mobile/amazon-cognito-user-pools-supports-federation-with-saml/
- (Exam Topic 2) A Developer is writing a REST service that will add items to a shopping list. The service is built on Amazon API Gateway with AWS Lambda integrations. The shopping list items are send as query string parameters in the method request. How should the Developer convert the query string parameters to arguments for the Lambda function?,A. Enable request validation,B. Include the Amazon Resource Name (ARN) of the Lambda function,C. Change the integration type,D. Create a mapping template,,,4,radio,,,https://docs.aws.amazon.com/apigateway/latest/developerguide/integrating-api-with-aws-services-lambda.html#
- (Exam Topic 2) An application uses Lambda functions to extract metadata from files uploaded to an S3 bucket; the metadata is stored in Amazon DynamoDB. The application starts behaving unexpectedly  and the Developer wants to examine the logs of the Lambda function code for errors. Based on this system configuration  where would the Developer find the logs?,B. The application starts behaving unexpectedly  and the Developer wants to examine the logs of the Lambda function code for errors. Based on this system configuration  where would the Developer find the logs?,A. Amazon S3,B. AWS CloudTrail,C. Amazon CloudWatch,D. Amazon DynamoDB Your Partner of IT Exam visit - https://www.exambible.com  gWe recommend you to try the PREMIUM AWS-Certified-Developer-Associate Dumps From Exambible https://www.exambible.com/AWS-Certified-Developer-Associate-exam/ (127 Q&As),,3,radio,,,
- (Exam Topic 2) A company is running a Docker application on Amazon ECS. The application must scale based on user load in the last 15 seconds. How should a Developer instrument the code so that the requirement can be met?,A. Create a high-resolution custom Amazon CloudWatch metric for user activity data  then publish data every 30 seconds,B. Create a high-resolution custom Amazon CloudWatch metric for user activity data  then publish data every 5 seconds,C. Create a standard-resolution custom Amazon CloudWatch metric for user activity data  then publish data every 30 seconds,D. Create a standard-resolution custom Amazon CloudWatch metric for user activity data  then publish data every 5 seconds,,,2,radio,,,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/publishingMetrics.html#high-resolution-m
