question,ans1,ans2,ans3,ans4,ans5,ans6,correct_ans,check_radio,topic,domain,explanation
A company has a web-based survey application that uses Amazon DynamoDB. During peak usage  when survey responses are being collected  a Database Specialist sees the ProvisionedThroughputExceededException error. What can the Database Specialist do to resolve this error? (Choose two.),B. During peak usage  when survey responses are being collected  a Database Specialist sees the ProvisionedThroughputExceededException error. What can the Database Specialist do to resolve this error? (Choose two.),A. Change the table to use Amazon DynamoDB Streams,B. Purchase DynamoDB reserved capacity in the affected Region,C. Increase the write capacity units for the specific table,D. Change the table capacity mode to on-demand,E. Change the table type to throughput optimized,3,radio,,,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/switching.capacitymode.html
A small startup company is looking to migrate a 4 TB on-premises MySQL database to AWS using an Amazon RDS for MySQL DB instance. Which strategy would allow for a successful migration with the LEAST amount of downtime?,A. Deploy a new RDS for MySQL DB instance and configure it for access from the on-premises data cente,B. Use the mysqldump utility to create an initial snapshot from the on-premises MySQL server  and copy it to an Amazon S3 bucke,C. Import the snapshot into the DB instance utilizing the MySQL utilities running on an Amazon EC2 instanc,D. Immediately point the application to the DB instance.,E. Deploy a new Amazon EC2 instance  install the MySQL software on the EC2 instance  and configure networking for access from the on-premises data cente,F. Use the mysqldump utility to create a snapshot of the on-premises MySQL serve G. Copy the snapshot into the EC2 instance and restore it into the EC2 MySQL instanc H. Use AWS DMS to migrate data into a new RDS for MySQL DB instanc I. Point the application to the DB instance. J. Deploy a new Amazon EC2 instance  install the MySQL software on the EC2 instance  and configure networking for access from the on-premises data cente K. Use the mysqldump utility to create a snapshot of the on-premises MySQL serve L. Copy the snapshot into an Amazon S3 bucket and import the snapshot into a new RDS for MySQL DB instance using the MySQL utilities running on an EC2 instanc M. Point the application to the DB instance. N. Deploy a new RDS for MySQL DB instance and configure it for access from the on-premises data cente O. Use the mysqldump utility to create an initial snapshot from the on-premises MySQL server  and copy it to an Amazon S3 bucke P. Import the snapshot into the DB instance using the MySQL utilities running on an Amazon EC2 instanc Q. Establish replication into the new DB instance using MySQL replicatio R. Stop application access to the on-premises MySQL server and let the remaining transactions replicate ove S. Point the application to the DB instance.,2,radio,,,
A company developed a new application that is deployed on Amazon EC2 instances behind an Application Load Balancer. The EC2 instances use the security group named sg-application-servers. The company needs a database to store the data from the application and decides to use an Amazon RDS for MySQL DB instance. The DB instance is deployed in private DB subnet. What is the MOST restrictive configuration for the DB instance security group?,A. Only allow incoming traffic from the sg-application-servers security group on port 3306.,B. Only allow incoming traffic from the sg-application-servers security group on port 443.,C. Only allow incoming traffic from the subnet of the application servers on port 3306.,D. Only allow incoming traffic from the subnet of the application servers on port 443.,,,1,radio,,,most restrictive approach is to allow only incoming connections from SG of EC2 instance on port 3306
To meet new data compliance requirements  a company needs to keep critical data durably stored and readily accessible for 7 years. Data that is more than 1 year old is considered archival data and must automatically be moved out of the Amazon Aurora MySQL DB cluster every week. On average  around 10 GB of new data is added to the database every month. A database specialist must choose the most operationally efficient solution to migrate the archival data to Amazon S3. Which solution meets these requirements?,A. Create a custom script that exports archival data from the DB cluster to Amazon S3 using a SQL view  then deletes the archival data from the DB cluste,B. Launch an Amazon EC2 instance with a weekly cron job to execute the custom script.,C. Configure an AWS Lambda function that exports archival data from the DB cluster to Amazon S3 using a SELECT INTO OUTFILE S3 statement  then deletes the archival data from the DB cluste,D. Schedule the Lambda function to run weekly using Amazon EventBridge (Amazon CloudWatch Events).,E. Configure two AWS Lambda functions: one that exports archival data from the DB cluster to Amazon S3 using the mysqldump utility  and another that deletes the archival data from the DB cluste,F. Schedule both Lambda functions to run weekly using Amazon EventBridge (Amazon CloudWatch Events). G. Use AWS Database Migration Service (AWS DMS) to continually export the archival data from the DB cluster to Amazon S3. Configure an AWS Data Pipeline process to run weekly that executes a custom SQL script to delete the archival data from the DB cluster.,2,radio,,,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Integrating.SaveIntoS3.htm
A large retail company recently migrated its three-tier ecommerce applications to AWS. The company’s backend database is hosted on Amazon Aurora PostgreSQL. During peak times  users complain about longer page load times. A database specialist reviewed Amazon RDS Performance Insights and found a spike in IO:XactSync wait events. The SQL attached to the wait events are all single INSERT statements. How should this issue be resolved?,A. Modify the application to commit transactions in batches,B. Add a new Aurora Replica to the Aurora DB cluster.,C. Add an Amazon ElastiCache for Redis cluster and change the application to write through.,D. Change the Aurora DB cluster storage to Provisioned IOPS (PIOPS).,,,1,radio,,,"https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/AuroraPostgreSQL.Reference.html ""This wait most often arises when there is a very high rate of commit activity on the system. You can sometimes alleviate this wait by modifying applications to commit transactions in batches. "" https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/apg-waits.xactsync.html"
A company is planning to close for several days. A Database Specialist needs to stop all applications along with the DB instances to ensure employees do not have access to the systems during this time. All databases are running on Amazon RDS for MySQL. The Database Specialist wrote and executed a script to stop all the DB instances. When reviewing the logs  the Database Specialist found that Amazon RDS DB instances with read replicas did not stop. How should the Database Specialist edit the script to fix this issue?,A. Stop the source instances before stopping their read replicas,B. Delete each read replica before stopping its corresponding source instance,C. Stop the read replicas before stopping their source instances,D. Use the AWS CLI to stop each read replica and source instance at the same time,,,2,radio,,,"https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_StopInstance.html The following are some limitations to stopping and starting a DB instance: You can't stop a DB instance that has a read replica, or that is a read replica. So if you cant stop a db with a read replica  you have to delete the read replica first to then stop it??? https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_MySQL.Replication.ReadReplicas.html#U"
A Database Specialist needs to define a database migration strategy to migrate an on-premises Oracle database to an Amazon Aurora MySQL DB cluster. The company requires near-zero downtime for the data migration. The solution must also be cost-effective. Which approach should the Database Specialist take?,A. Dump all the tables from the Oracle database into an Amazon S3 bucket using datapump (expdp). Run data transformations in AWS Glu,B. Load the data from the S3 bucket to the Aurora DB cluster.,C. Order an AWS Snowball appliance and copy the Oracle backup to the Snowball applianc,D. Once the Snowball data is delivered to Amazon S3  create a new Aurora DB cluste,E. Enable the S3 integration to migrate the data directly from Amazon S3 to Amazon RDS.,F. Use the AWS Schema Conversion Tool (AWS SCT) to help rewrite database objects to MySQL during the schema migratio G. Use AWS DMS to perform the full load and change data capture (CDC) tasks. H. Use AWS Server Migration Service (AWS SMS) to import the Oracle virtual machine image as an Amazon EC2 instanc I. Use the Oracle Logical Dump utility to migrate the Oracle data from Amazon EC2 to an Aurora DB cluster.,3,radio,,,https://aws.amazon.com/blogs/database/migrating-oracle-databases-with-near-zero-downtime-using-aws-dms/
A business is launching a new Amazon RDS for SQL Server database instance. The organization wishes to allow auditing of the SQL Server database. Which measures should a database professional perform in combination to achieve this requirement? (Select two.),A. Create a service-linked role for Amazon RDS that grants permissions for Amazon RDS to store audit logs on Amazon S3.,B. Set up a parameter group to configure an IAM role and an Amazon S3 bucket for audit log storage.Associate the parameter group with the DB instance.,C. Disable Multi-AZ on the DB instance  and then enable auditin,D. Enable Multi-AZ after auditing is enabled.,E. Disable automated backup on the DB instance  and then enable auditin,F. Enable automated backup after auditing is enabled. G. Set up an options group to configure an IAM role and an Amazon S3 bucket for audit log storage.Associate the options group with the DB instance.,1,radio,,,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Appendix.SQLServer.Options.Audit.html https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/security_iam_service-with-iam.html
A Database Specialist has migrated an on-premises Oracle database to Amazon Aurora PostgreSQL. The schema and the data have been migrated successfully. The on-premises database server was also being used to run database maintenance cron jobs written in Python to perform tasks including data purging and generating data exports. The logs for these jobs show that  most of the time  the jobs completed within 5 minutes  but a few jobs took up to 10 minutes to complete. These maintenance jobs need to be set up for Aurora PostgreSQL. How can the Database Specialist schedule these jobs so the setup requires minimal maintenance and provides high availability?,A. Create cron jobs on an Amazon EC2 instance to run the maintenance jobs following the required schedule.,B. Connect to the Aurora host and create cron jobs to run the maintenance jobs following the required schedule.,C. Create AWS Lambda functions to run the maintenance jobs and schedule them with Amazon CloudWatch Events.,D. Create the maintenance job using the Amazon CloudWatch job scheduling plugin.,,,3,radio,,,https://docs.aws.amazon.com/AmazonCloudWatch/latest/events/Create-CloudWatch-Events-Scheduled-Rule.ht https://docs.aws.amazon.com/prescriptiveguidance/latest/patterns/schedule-jobs-for-amazon-rds-and-aurora-pos a job for data extraction or a job for data purging can easily be scheduled using cron. For these jobs  database credentials are typically either hard-coded or stored in a properties file. However  when you migrate to Amazon Relational Database Service (Amazon RDS) or Amazon Aurora PostgreSQL  you lose the ability to log in to the host instance to schedule cron jobs. This pattern describes how to use AWS Lambda and AWS Secrets Manager to schedule jobs for Amazon RDS and Aurora PostgreSQL databases after migration. https://docs.aws.amazon.com/AmazonCloudWatch/latest/events/RunLambdaSchedule.html
A Database Specialist is creating a new Amazon Neptune DB cluster  and is attempting to load fata from Amazon S3 into the Neptune DB cluster using the Neptune bulk loader API. The Database Specialist receives the following error: “Unable to connect to s3 endpoint. Provided source = s3://mybucket/graphdata/ and region = us-east-1. Please verify your S3 configuration.” Which combination of actions should the Database Specialist take to troubleshoot the problem? (Choose two.),A. Check that Amazon S3 has an IAM role granting read access to Neptune,B. Check that an Amazon S3 VPC endpoint exists,C. Check that a Neptune VPC endpoint exists,D. Check that Amazon EC2 has an IAM role granting read access to Amazon S3,E. Check that Neptune has an IAM role granting read access to Amazon S3,,2,radio,,,
A Database Specialist must create a read replica to isolate read-only queries for an Amazon RDS for MySQL DB instance. Immediately after creating the read replica  users that query it report slow response times. What could be causing these slow response times?,A. New volumes created from snapshots load lazily in the background,B. Long-running statements on the master,C. Insufficient resources on the master,D. Overload of a single replication thread by excessive writes on the master,,,1,radio,,,snapshot is lazy loaded If the volume is accessed where the data is not loaded  the application accessing the volume encounters a higher latency than normal while the data gets loaded https://aws.amazon.com/about-aws/whats-new/2019/11/amazon-ebs-fast-snapshot-restore-eliminates-need-for-p
Amazon Neptune is being used by a corporation as the graph database for one of its products. During an ETL procedure  the company's data science team produced enormous volumes of temporary data by unintentionally. The Neptune DB cluster extended its storage capacity automatically to handle the added data but the data science team erased the superfluous data. What should a database professional do to prevent incurring extra expenditures for cluster volume space that is not being used?,A. Take a snapshot of the cluster volum,B. Restore the snapshot in another cluster with a smaller volume size.,C. Use the AWS CLI to turn on automatic resizing of the cluster volume.,D. Export the cluster data into a new Neptune DB cluster.,E. Add a Neptune read replica to the cluste,F. Promote this replica as a new primary DB instanc G. Reset the storage space of the cluster.,3,radio,,,The only way to shrink the storage space used by your DB cluster when you have a large amount of unused allocated space is to export all the data in your graph and then reload it into a new DB cluster. Creating and restoring a snapshot does not reduce the amount of storage allocated for your DB cluster  because a snapshot retains the original image of the cluster's underlying storage.
A stock market analysis firm maintains two locations: one in the us-east-1 Region and another in the eu-west-2 Region. The business want to build an AWS database solution capable of providing rapid and accurate updates. Dashboards with advanced analytical queries are used to present data in the eu-west-2 office. Because the corporation will use these dashboards to make purchasing choices  they must have less than a second to obtain application data. Which solution satisfies these criteria and gives the MOST CURRENT dashboard?,A. Deploy an Amazon RDS DB instance in us-east-1 with a read replica instance in eu-west-2. Create an Amazon ElastiCache cluster in eu-west-2 to cache data from the read replica to generate the dashboards.,B. Use an Amazon DynamoDB global table in us-east-1 with replication into eu-west-2. Use multi-active replication to ensure that updates are quickly propagated to eu-west-2.,C. Use an Amazon Aurora global databas,D. Deploy the primary DB cluster in us-east-1. Deploy the secondary DB cluster in eu-west-2. Configure the dashboard application to read from the secondary cluster.,E. Deploy an Amazon RDS for MySQL DB instance in us-east-1 with a read replica instance in eu-west-2.Configure the dashboard application to read from the read replica.,,3,radio,,,Amazon Aurora global databases span multiple AWS Regions  enabling low latency global reads and providing fast recovery from the rare outage that might affect an entire AWS Region. An Aurora global database has a primary DB cluster in one Region  and up to five secondary DB clusters in different Regions. https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-global-database.html
A database specialist must create nightly backups of an Amazon DynamoDB table in a mission-critical workload as part of a disaster recovery strategy. Which backup methodology should the database specialist use to MINIMIZE management overhead?,A. Install the AWS CLI on an Amazon EC2 instanc,B. Write a CLI command that creates a backup of the DynamoDB tabl,C. Create a scheduled job or task that executes the command on a nightly basis.,D. Create an AWS Lambda function that creates a backup of the DynamoDB tabl,E. Create an Amazon CloudWatch Events rule that executes the Lambda function on a nightly basis.,F. Create a backup plan using AWS Backup  specify a backup frequency of every 24 hours  and give the plan a nightly backup window. G. Configure DynamoDB backup and restore for an on-demand backup frequency of every 24 hours.,3,radio,,,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/CreateBackup.html#:~:text=If%20you%2 https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/backuprestore_HowItWorks.html
A company is looking to migrate a 1 TB Oracle database from on-premises to an Amazon Aurora PostgreSQL DB cluster. The company’s Database Specialist discovered that the Oracle database is storing 100 GB of large binary objects (LOBs) across multiple tables. The Oracle database has a maximum LOB size of 500 MB with an average LOB size of 350 MB. The Database Specialist has chosen AWS DMS to migrate the data with the largest replication instances. How should the Database Specialist optimize the database migration using AWS DMS?,B. The Database Specialist has chosen AWS DMS to migrate the data with the largest replication instances. How should the Database Specialist optimize the database migration using AWS DMS?,A. Create a single task using full LOB mode with a LOB chunk size of 500 MB to migrate the data and LOBs together,B. Create two tasks: task1 with LOB tables using full LOB mode with a LOB chunk size of 500 MB and task2 without LOBs,C. Create two tasks: task1 with LOB tables using limited LOB mode with a maximum LOB size of 500 MB and task 2 without LOBs,D. Create a single task using limited LOB mode with a maximum LOB size of 500 MB to migrate data and LOBs together,,3,radio,,,
A worldwide digital advertising corporation collects browser information in order to provide targeted visitors with contextually relevant pictures  websites  and connections. A single page load may create many events  each of which must be kept separately. A single event may have a maximum size of 200 KB and an average size of 10 KB. Each page load requires a query of the user's browsing history in order to deliver suggestions for targeted advertising. The advertising corporation anticipates daily page views of more than 1 billion from people in the United States  Europe  Hong Kong  and India. The information structure differs according to the event. Additionally  browsing information must be written and read with a very low latency to guarantee that consumers have a positive viewing experience. Which database solution satisfies these criteria?,B. Each page load requires a query of the user's browsing history in order to deliver suggestions for targeted advertising. The advertising corporation anticipates daily page views of more than 1 billion from people in the United States  Europe  Hong Kong  and India. The information structure differs according to the event. Additionally  browsing information must be written and read with a very low latency to guarantee that consumers have a positive viewing experience. Which database solution satisfies these criteria?,A. Amazon DocumentDB,B. Amazon RDS Multi-AZ deployment,C. Amazon DynamoDB global table,D. Amazon Aurora Global Database,,3,radio,,,
A Database Specialist is constructing a new Amazon Neptune DB cluster and tries to load data from Amazon S3 using the Neptune bulk loader API. The Database Specialist is confronted with the following error message: €Unable to establish a connection to the s3 endpoint. The source URL is s3:/mybucket/graphdata/ and the region code is us-east-1. Kindly confirm your Configuration S3. Which of the following activities should the Database Specialist take to resolve the issue? (Select two.),A. Check that Amazon S3 has an IAM role granting read access to Neptune,B. Check that an Amazon S3 VPC endpoint exists,C. Check that a Neptune VPC endpoint exists,D. Check that Amazon EC2 has an IAM role granting read access to Amazon S3,E. Check that Neptune has an IAM role granting read access to Amazon S3,,2,radio,,,https://docs.aws.amazon.com/neptune/latest/userguide/bulk-load-tutorial-IAM.html https://docs.aws.amazon.com/neptune/latest/userguide/bulk-load-data.html “An IAM role for the Neptune DB instance to assume that has an IAM policy that allows access to the data files in the S3 bucket. The policy must grant Read and List permissions.” “An Amazon S3 VPC endpoint. For more information  see the Creating an Amazon S3 VPC Endpoint section.”
A bank intends to utilize Amazon RDS to host a MySQL database instance. The database should be able to handle high-volume read requests with extremely few repeated queries. Which solution satisfies these criteria?,A. Create an Amazon ElastiCache cluste,B. Use a write-through strategy to populate the cache.,C. Create an Amazon ElastiCache cluste,D. Use a lazy loading strategy to populate the cache.,E. Change the DB instance to Multi-AZ with a standby instance in another AWS Region.,F. Create a read replica of the DB instanc G. Use the read replica to distribute the read traffic.,4,radio,,,
A company is using Amazon with Aurora Replicas for read-only workload scaling. A Database Specialist needs to split up two read-only applications so each application always connects to a dedicated replica. The Database Specialist wants to implement load balancing and high availability for the read-only applications. Which solution meets these requirements?,A. Use a specific instance endpoint for each replica and add the instance endpoint to each read-only application connection string.,B. Use reader endpoints for both the read-only workload applications.,C. Use a reader endpoint for one read-only application and use an instance endpoint for the other read-only application.,D. Use custom endpoints for the two read-only applications.,,,4,radio,,,https://aws.amazon.com/about-aws/whats-new/2018/11/amazon-aurora-simplifies-workload-management-with-c
A business just transitioned from an on-premises Oracle database to Amazon Aurora PostgreSQL. Following the move  the organization observed that every day around 3:00 PM  the application's response time is substantially slower. The firm has determined that the problem is with the database  not the application. Which set of procedures should the Database Specialist do to locate the erroneous PostgreSQL query most efficiently?,A. Create an Amazon CloudWatch dashboard to show the number of connections  CPU usage  and disk space consumptio,B. Watch these dashboards during the next slow period.,C. Launch an Amazon EC2 instance  and install and configure an open-source PostgreSQL monitoring tool that will run reports based on the output error logs.,D. Modify the logging database parameter to log all the queries related to locking in the database and then check the logs after the next slow period for this information.,E. Enable Amazon RDS Performance Insights on the PostgreSQL databas,F. Use the metrics to identify any queries that are related to spikes in the graph during the next slow period.,4,radio,,,"https://aws.amazon.com/blogs/database/optimizing-and-tuning-queries-in-amazon-rds-postgresql-based-on-nativ ""AWS recently released a feature called Amazon RDS Performance Insights  which provides an easy-to-understand dashboard for detecting performance problems in terms of load."" ""AWS recently released a feature called Amazon RDS Performance Insights which provides an easy-to-understand dashboard for detecting performance problems in terms of load."""
A company wants to migrate its Microsoft SQL Server Enterprise Edition database instance from on-premises to AWS. A deep review is performed and the AWS Schema Conversion Tool (AWS SCT) provides options for running this workload on Amazon RDS for SQL Server Enterprise Edition  Amazon RDS for SQL Server Standard Edition  Amazon Aurora MySQL  and Amazon Aurora PostgreSQL. The company does not want to use its own SQL server license and does not want to change from Microsoft SQL Server. What is the MOST cost-effective and operationally efficient solution?,A. Run SQL Server Enterprise Edition on Amazon EC2.,B. Run SQL Server Standard Edition on Amazon RDS.,C. Run SQL Server Enterprise Edition on Amazon RDS.,D. Run Amazon Aurora MySQL leveraging SQL Server on Linux compatibility libraries.,,,2,radio,,,This link seems to indicate that more information is required to determine if the Enterprise instance is a candidate for downgrading to Standard. https://docs.aws.amazon.com/prescriptive-guidance/latest/patterns/determine-whether-your-microsoft-sql-server https://calculator.aws/#/createCalculator/RDSSQLServer
In one AWS account  a business runs a two-tier ecommerce application. An Amazon RDS for MySQL Multi-AZ database instance serves as the application's backend. A developer removed the database instance in the production environment by accident. Although the organization recovers the database  the incident results in hours of outage and financial loss. Which combination of adjustments would reduce the likelihood that this error will occur again in the future? (Select three.),A. Grant least privilege to groups  IAM users  and roles.,B. Allow all users to restore a database from a backup.,C. Enable deletion protection on existing production DB instances.,D. Use an ACL policy to restrict users from DB instance deletion.,E. Enable AWS CloudTrail logging and Enhanced Monitoring.,,1,radio,,,
An online retail company is planning a multi-day flash sale that must support processing of up to 5 000 orders per second. The number of orders and exact schedule for the sale will vary each day. During the sale  approximately 10 000 concurrent users will look at the deals before buying items. Outside of the sale  the traffic volume is very low. The acceptable performance for read/write queries should be under 25 ms. Order items are about 2 KB in size and have a unique identifier. The company requires the most cost-effective solution that will automatically scale and is highly available. Which solution meets these requirements?,A. Amazon DynamoDB with on-demand capacity mode,B. Amazon Aurora with one writer node and an Aurora Replica with the parallel query feature enabled,C. Amazon DynamoDB with provisioned capacity mode with 5 000 write capacity units (WCUs) and 10 000 read capacity units (RCUs),D. Amazon Aurora with one writer node and two cross-Region Aurora Replicas,,,1,radio,,,The number of orders and exact schedule for the sale will vary each day. During the sale  approximately 10 000 concurrent users will look at the deals before buying items. Outside of the sale  the traffic volume is very low ==> Setting provisioning DynamoDB fix read 5000/write 10000 with will waste the resource when the traffic is low. It is not cost-effective.
